word,counts
you,29690
i,26994
the,14189
it,9640
to,9604
a,9513
me,9191
my,7983
not,7654
and,7126
is,7007
e,6895
am,6400
yeah,6291
that,5674
in,5495
do,5478
on,5422
like,4389
we,3798
oh,3690
up,3615
your,3491
with,3347
all,3297
know,3284
no,3067
want,2981
for,2928
can,2925
are,2867
got,2852
but,2727
be,2723
of,2687
just,2587
love,2480
so,2442
will,2391
what,2372
get,2282
this,2207
ooh,2137
when,2085
she,2063
they,2048
go,1918
out,1902
if,1711
let,1693
have,1664
aint,1616
now,1566
because,1529
was,1455
down,1435
never,1395
back,1371
bitch,1359
one,1350
baby,1327
say,1274
had,1270
need,1223
time,1215
make,1188
her,1178
been,1174
at,1147
ayy,1143
fuck,1142
see,1113
tell,1111
shit,1056
uh,1045
nigga,992
going,991
from,980
could,979
c,970
keep,966
take,963
way,962
how,932
feel,909
too,907
come,905
he,867
us,857
right,816
there,799
off,776
la,760
give,746
these,742
some,726
then,721
think,712
said,706
girl,694
life,683
look,675
em,669
night,665
put,665
niggas,655
why,654
bad,653
ah,648
b,643
gon,642
mind,640
woo,638
gotta,637
day,601
still,599
here,598
good,595
only,593
where,584
man,569
da,564
more,560
through,558
hey,553
every,550
woah,550
call,541
about,538
really,535
ever,533
made,530
better,530
money,526
over,523
them,509
who,505
by,496
or,495
ya,493
head,486
hit,480
even,475
heart,471
ama,469
new,455
around,454
away,452
tryna,452
nothing,450
would,437
find,437
f,434
run,432
bout,430
always,427
as,422
feeling,412
little,408
something,399
stay,396
again,387
gang,385
him,385
cc,383
two,380
getting,379
big,379
doe,379
lil,375
tonight,372
leave,368
running,365
real,363
fucking,362
home,359
ass,355
thing,355
talk,354
than,351
everything,350
eyes,348
huh,345
did,344
hold,341
notil,337
told,335
into,332
world,326
left,322
bitches,322
pull,322
coming,322
stop,319
show,319
walk,319
were,318
try,316
ride,316
friends,314
boy,314
an,309
should,308
might,307
looking,305
hard,304
body,302
much,302
na,301
doo,301
god,298
myself,295
turn,294
wait,294
d,292
play,291
die,289
his,288
high,284
things,283
our,281
light,281
same,278
somebody,273
hate,273
okay,273
face,272
m,271
someone,270
name,269
diamonds,268
pop,268
believe,264
before,260
fall,259
nobody,258
whole,257
skrrt,256
bring,254
mmm,252
side,248
top,246
o,245
alone,244
lot,244
didn,242
lost,241
long,241
watch,240
last,239
ice,238
hot,236
pussy,232
damn,232
wish,229
break,227
move,225
took,223
used,222
mine,221
came,220
talking,219
thought,219
y,218
enough,216
another,216
falling,215
sweet,215
nah,214
lose,214
days,213
other,210
close,210
though,209
t,208
maybe,207
mean,207
young,206
please,206
babe,203
fire,203
knew,203
many,202
people,201
mad,200
s,199
dance,199
work,198
live,198
everybody,198
miss,198
living,197
lie,196
care,195
inside,191
alright,190
else,190
straight,189
drip,189
end,188
hear,188
waiting,187
while,186
crazy,186
drop,185
touch,185
hands,185
ho,185
hope,184
doing,183
change,182
bag,182
best,181
cry,180
pain,180
girls,180
went,180
cold,179
times,179
wrong,178
dark,177
guess,177
gave,177
rain,177
hoes,175
hundred,175
ody,175
old,173
christmas,172
ring,172
rich,171
thinking,170
well,170
help,170
sleep,169
forget,169
own,168
without,168
beat,167
moving,167
first,166
start,166
gone,165
wrist,163
oo,162
bands,162
throw,162
whip,159
seen,157
line,157
low,156
hell,156
catch,155
check,155
three,154
place,154
smoke,154
playing,153
cut,153
after,152
mama,151
heard,151
roll,151
white,151
sometimes,150
shawty,149
bed,149
fast,147
black,147
hand,147
cash,147
kiss,146
fly,145
taking,145
under,145
blue,145
beautiful,144
broke,143
round,143
free,142
phone,142
those,141
forever,141
ready,141
dead,141
type,140
room,139
taste,139
sorry,139
nights,137
different,136
mm,136
making,135
lonely,135
shoot,134
game,134
house,134
swear,134
found,133
dick,133
red,133
cool,133
morning,132
feels,132
thousand,132
soul,131
city,130
water,130
does,130
anything,130
thunder,129
hurt,129
door,128
next,128
dancing,128
gucci,127
save,127
trust,126
open,126
pretty,125
true,125
sky,125
dripping,124
since,123
fine,123
blah,123
bank,122
slide,122
lit,122
neck,121
saying,121
bought,121
million,121
racks,120
ones,120
word,120
fucked,119
telling,118
friend,118
fight,118
year,118
control,117
five,117
tried,117
ask,117
scared,117
dum,117
being,116
stars,116
song,116
slow,115
l,115
couple,115
car,114
calling,114
remember,113
ac,113
ha,113
loving,112
party,112
both,112
sun,110
dog,110
kill,110
space,109
matter,109
once,109
woman,108
eh,107
trying,107
until,107
saw,107
any,107
jump,106
town,106
step,106
past,106
whoa,106
wild,105
wake,105
together,105
alive,105
far,105
road,105
acting,104
wanted,104
yes,104
drive,103
ball,103
yo,102
club,102
